Test_Number,Testing_Item,Test,Range
tb_leakage_low,DFTRAMBYP,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_low,ECEN,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,EMAA_0,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,EMAA_1,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,EMAA_2,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,EMAB_0,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,EMAB_1,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,EMAB_2,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,EMAP,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,EMASA,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,EMAWA_0,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,EMAWA_1,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
