Test_Number,Testing_Type,A/S,Test(META???),Location_Type,Test_Location,??,EMA#1,EMA#2,EMAW,EMAS,EMAP,WABL,WABLM,RAWL,RAWLM,KEN,RANGE,Value
3080,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,8192X20M8F8,ABGRWVL_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3081,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X4M16F2,ABV_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3082,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,32768X40M16F8,ABGRWVL_LP_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3083,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,1024X4M8F2,ABGV_HS_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3084,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,16384X4M8F8,ABGV_HS_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3085,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X80M8F4,ABGTWV_HS_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3086,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X4M16F2,ABV_HS_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3087,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,4096X40M16F4,ABGWV_HS_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3088,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,32768X40M16F8,ABGRV_HS_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3089,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,4096X42M8F4,ABGWVL_HS_m22n,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3090,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_HS_timing,A6,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3091,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,1024X4M8F2,ABGV_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3092,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X80M8F4,ABGTWV_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3093,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,8192X20M8F8,ABGRWVL_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3094,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X4M16F2,ABV_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3095,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,32768X40M16F8,ABGRWVL_LP_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3096,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,1024X4M8F2,ABGV_HS_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3097,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,16384X4M8F8,ABGV_HS_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3098,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X80M8F4,ABGTWV_HS_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3099,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X4M16F2,ABV_HS_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3100,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,4096X40M16F4,ABGWV_HS_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3101,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,32768X40M16F8,ABGRV_HS_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3102,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,4096X42M8F4,ABGWVL_HS_m22n,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3103,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_HS_timing,A7,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3104,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,1024X4M8F2,ABGV_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P)
3105,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X80M8F4,ABGTWV_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P)
3106,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,8192X20M8F8,ABGRWVL_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P)
3107,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X4M16F2,ABV_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P)
3108,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,32768X40M16F8,ABGRWVL_LP_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P)
3109,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,1024X4M8F2,ABGV_HS_m22n,A0,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6375V_vddce_0.6375V_dvdd_1.200V_100.00ns,(P)
